cwe,precision,recall,f1,accuracy
78,0.9693877551020408,0.9693877551020408,0.9844559585492226,0.9693877551020408
121,0.9846625766871165,0.9846625766871165,0.9922720247295209,0.9846625766871165
122,0.8212058212058212,0.8212058212058212,0.9018264840182648,0.8212058212058212
123,1.0,1.0,1.0,1.0
126,0.7560975609756098,0.7560975609756098,0.8611111111111112,0.7560975609756098
134,0.9488054607508533,0.9488054607508533,0.9737302977232923,0.9488054607508533
188,0.047619047619047616,0.047619047619047616,0.09090909090909091,0.047619047619047616
190,0.556930693069307,0.556930693069307,0.7154213036565977,0.556930693069307
191,0.4429530201342282,0.4429530201342282,0.6139534883720931,0.4429530201342282
194,0.9082687338501292,0.9082687338501292,0.9519295870006771,0.9082687338501292
195,0.8694581280788177,0.8694581280788177,0.930171277997365,0.8694581280788177
196,0.5,0.5,0.6666666666666666,0.5
197,0.2641509433962264,0.2641509433962264,0.417910447761194,0.2641509433962264
242,0.625,0.625,0.7692307692307693,0.625
252,0.6791277258566978,0.6791277258566978,0.8089053803339518,0.6791277258566978
253,0.5308310991957105,0.5308310991957105,0.6935201401050789,0.5308310991957105
364,0.5769230769230769,0.5769230769230769,0.7317073170731707,0.5769230769230769
366,0.10526315789473684,0.10526315789473684,0.19047619047619047,0.10526315789473684
367,0.8526315789473684,0.8526315789473684,0.9204545454545454,0.8526315789473684
369,0.5357142857142857,0.5357142857142857,0.6976744186046512,0.5357142857142857
377,0.7816091954022989,0.7816091954022989,0.8774193548387098,0.7816091954022989
390,0.2692307692307692,0.2692307692307692,0.42424242424242425,0.2692307692307692
391,0.34285714285714286,0.34285714285714286,0.5106382978723404,0.34285714285714286
398,0.48663101604278075,0.48663101604278075,0.6546762589928058,0.48663101604278075
400,0.5104602510460251,0.5104602510460251,0.6759002770083102,0.5104602510460251
401,0.9,0.9,0.9473684210526315,0.9
404,0.26,0.26,0.4126984126984127,0.26
416,0.7090909090909091,0.7090909090909091,0.8297872340425532,0.7090909090909091
426,0.6835443037974683,0.6835443037974683,0.8120300751879699,0.6835443037974683
427,0.983957219251337,0.983957219251337,0.9919137466307277,0.983957219251337
459,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.7142857142857143
464,0.6296296296296297,0.6296296296296297,0.7727272727272727,0.6296296296296297
467,0.28125,0.28125,0.43902439024390244,0.28125
468,0.2727272727272727,0.2727272727272727,0.4285714285714286,0.2727272727272727
469,0.2727272727272727,0.2727272727272727,0.4285714285714286,0.2727272727272727
475,0.46153846153846156,0.46153846153846156,0.631578947368421,0.46153846153846156
476,0.5608108108108109,0.5608108108108109,0.7186147186147186,0.5608108108108109
478,0.6153846153846154,0.6153846153846154,0.761904761904762,0.6153846153846154
479,0.15789473684210525,0.15789473684210525,0.2727272727272727,0.15789473684210525
480,0.2916666666666667,0.2916666666666667,0.45161290322580644,0.2916666666666667
481,0.46875,0.46875,0.6382978723404256,0.46875
482,0.0,0.0,0.0,0.0
483,0.7894736842105263,0.7894736842105263,0.8823529411764706,0.7894736842105263
484,0.2222222222222222,0.2222222222222222,0.36363636363636365,0.2222222222222222
510,0.8566037735849057,0.8566037735849057,0.9227642276422764,0.8566037735849057
511,0.7635135135135135,0.7635135135135135,0.8659003831417624,0.7635135135135135
526,0.14285714285714285,0.14285714285714285,0.25,0.14285714285714285
546,0.4107142857142857,0.4107142857142857,0.5822784810126583,0.4107142857142857
561,0.0,0.0,0.0,0.0
562,0.0,0.0,0.0,0.0
563,0.6775956284153005,0.6775956284153005,0.8078175895765473,0.6775956284153005
570,0.14285714285714285,0.14285714285714285,0.25,0.14285714285714285
571,0.07142857142857142,0.07142857142857142,0.13333333333333333,0.07142857142857142
587,0.0,0.0,0.0,0.0
588,0.42857142857142855,0.42857142857142855,0.6,0.42857142857142855
605,0.7659574468085106,0.7659574468085106,0.8674698795180723,0.7659574468085106
617,0.7055393586005831,0.7055393586005831,0.8273504273504273,0.7055393586005831
665,0.6491228070175439,0.6491228070175439,0.7872340425531915,0.6491228070175439
666,0.9885057471264368,0.9885057471264368,0.9942196531791907,0.9885057471264368
667,0.0,0.0,0.0,0.0
674,0.6666666666666666,0.6666666666666666,0.8000000000000002,0.6666666666666666
675,0.7010309278350515,0.7010309278350515,0.8242424242424242,0.7010309278350515
680,0.8109756097560976,0.8109756097560976,0.8956228956228957,0.8109756097560976
681,0.7368421052631579,0.7368421052631579,0.8484848484848485,0.7368421052631579
685,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333
688,0.42857142857142855,0.42857142857142855,0.6,0.42857142857142855
690,0.8666666666666667,0.8666666666666667,0.9285714285714286,0.8666666666666667
758,0.8378378378378378,0.8378378378378378,0.911764705882353,0.8378378378378378
761,0.9807692307692307,0.9807692307692307,0.9902912621359224,0.9807692307692307
773,0.6583333333333333,0.6583333333333333,0.7939698492462312,0.6583333333333333
775,0.3625,0.3625,0.5321100917431193,0.3625
832,0.0,0.0,0.0,0.0
835,0.0,0.0,0.0,0.0
843,0.2962962962962963,0.2962962962962963,0.4571428571428571,0.2962962962962963
